image,rule_group,whiteness,edge,color,horizontal,texture
cd5fd3922e.jpg,0,0.83228302,0.085919544,0.007118142,0.502565444,0.002273186
cdd804508a.jpg,0,0.688834667,0.11486236,0.014261583,0.478903204,0.00252282
ceb0aa852c.jpg,0,0.783274174,0.091853388,0.008409047,0.519337237,0.002715753
d0c981739e.jpg,0,0.847910941,0.06477882,0.005570779,0.531940997,0.001568565
da878dd90e.jpg,0,0.842376709,0.126862183,0.004756449,0.51753068,0.004192643
deb5f0c26d.jpg,0,0.856428802,0.087185428,0.003366849,0.522076368,0.002861422
e1d86e867c.jpg,0,0.774023175,0.093175814,0.006087672,0.500624776,0.002209249
fe1cb0485a.jpg,0,0.870787144,0.083962396,0.002023985,0.507373691,0.002967647
NL-RtSA_4014_121-2.jpg,0,0.820403278,0.053498823,0.005245692,0.438707292,0.000548982
NL-RtSA_4014_127-2.jpg,0,0.732966244,0.083443776,0.002275935,0.481015414,0.001050426
NL-RtSA_4015_J-7-01.jpg,0,0.76224196,0.08069668,0.004961944,0.498327494,0.000825265
E:\RC11\term 2\draft\3.1\G1_structural_design\002b481f0c.jpg,1,0.890248239,0.081500374,0.001829649,0.499787211,0.001182717
E:\RC11\term 2\draft\3.1\G1_structural_design\01c44e9505.jpg,1,0.914319038,0.055364292,0.002517794,0.527271688,0.000616007
E:\RC11\term 2\draft\3.1\G1_structural_design\02a4d7af11.jpg,1,0.883134782,0.108415529,0.002680262,0.504214227,0.00130756
E:\RC11\term 2\draft\3.1\G1_structural_design\03a9a54540.jpg,1,0.864696681,0.097441725,0.006125138,0.509558797,0.000889727
E:\RC11\term 2\draft\3.1\G1_structural_design\043af9dfd0.jpg,1,0.675260127,0.134017587,0.006718588,0.512985766,0.002729181
E:\RC11\term 2\draft\3.1\G1_structural_design\04615a5950.jpg,1,0.834654391,0.099860683,0.002174785,0.498212159,0.003173435
E:\RC11\term 2\draft\3.1\G1_structural_design\046844a2b4.jpg,1,0.899377227,0.087962404,0.00173217,0.508058965,0.003278903
E:\RC11\term 2\draft\3.1\G1_structural_design\047dd36225.jpg,1,0.785668194,0.082258344,0.000159886,0.494445503,0.000702248
E:\RC11\term 2\draft\3.1\G1_structural_design\07841ae2a8.jpg,1,0.838344216,0.153019041,0.004082932,0.462470859,0.002298458
E:\RC11\term 2\draft\3.1\G1_structural_design\082bb6cfcd.jpg,1,0.641439497,0.557744622,0.00112186,0.498348981,0.017359484
E:\RC11\term 2\draft\3.1\G1_structural_design\08b6fd1d51.jpg,1,0.872487426,0.083839275,0.003252429,0.519491732,0.00099565
E:\RC11\term 2\draft\3.1\G1_structural_design\090fcfa178.jpg,1,0.665193141,0.114949502,1.52E-05,0.523633182,0.000865097
E:\RC11\term 2\draft\3.1\G1_structural_design\0a751fe806.jpg,1,0.869488955,0.110336773,0.006151481,0.478315532,0.001494794
E:\RC11\term 2\draft\3.1\G1_structural_design\0a7c5138f3.jpg,1,0.816586256,0.106075957,0.008888578,0.512078941,0.002762817
